order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Day 1: Core Theory & Architectural Foundations,Welcome & Instructor Introduction,day-1-foundations-and-architecture/welcome-and-instructor-introduction,server,/lessons/day-1-foundations-and-architecture/welcome-and-instructor-introduction,"Meet your instructor Akil Mahmod Tipu, Senior DevOps Engineer, explore the course roadmap, prerequisites, and prepare for your 4-day infrastructure automation journey."
01B,Day 1: Core Theory & Architectural Foundations,The Evolution of Cloud Infrastructure & Why IaC Matters,day-1-foundations-and-architecture/why-infrastructure-as-code,server,/lessons/day-1-foundations-and-architecture/why-infrastructure-as-code,"Explore the historical transition from bare-metal ClickOps to modern Infrastructure as Code, understanding declarative vs imperative models, idempotency, and SDLC alignment."
01C,Day 1: Core Theory & Architectural Foundations,Why Terraform Exists & What Problems It Solves,day-1-foundations-and-architecture/why-terraform-and-problems-solved,server,/lessons/day-1-foundations-and-architecture/why-terraform-and-problems-solved,"A deep dive into why HashiCorp created Terraform, the core architectural problems it solves, blast radius mitigation, and a comparison against CloudFormation, Pulumi, and Ansible."
01D,Day 1: Core Theory & Architectural Foundations,Terraform Architecture & Core Engine Deep Dive,day-1-foundations-and-architecture/terraform-architecture-and-engine,server,/lessons/day-1-foundations-and-architecture/terraform-architecture-and-engine,"Understand the internal architecture of Terraform, including Terraform Core, the Provider Plugin gRPC protocol, Directed Acyclic Graph (DAG) generation, and state engine mechanics."
01E,Day 1: Core Theory & Architectural Foundations,Complete Installation & Environment Setup Guide,day-1-foundations-and-architecture/installation-and-environment-setup,server,/lessons/day-1-foundations-and-architecture/installation-and-environment-setup,"Step-by-step cross-platform installation guide for Terraform across macOS, Linux, and Windows, version switching with tfswitch/tenv, and AWS authentication setup."
02A,"Day 1: HCL Syntax, Core Workflow & First Deployments",HashiCorp Configuration Language (HCL) Anatomy,day-1-first-deployment-and-core-hcl/hcl-syntax-and-anatomy,terminal,/lessons/day-1-first-deployment-and-core-hcl/hcl-syntax-and-anatomy,"Master the structure of HCL2: blocks, labels, arguments, primitive and structural data types, string interpolation, and heredoc syntax."
02B,"Day 1: HCL Syntax, Core Workflow & First Deployments",First Deployment & The Complete Terraform Lifecycle,day-1-first-deployment-and-core-hcl/first-deployment-and-workflow-lifecycle,terminal,/lessons/day-1-first-deployment-and-core-hcl/first-deployment-and-workflow-lifecycle,"Hands-on walk-through of your first AWS deployment, dissecting terraform init, fmt, validate, plan, apply, destroy, and the dependency lockfile."
02C,"Day 1: HCL Syntax, Core Workflow & First Deployments","Input Variables, Custom Validation Rules, Outputs & Locals",day-1-first-deployment-and-core-hcl/variables-outputs-and-locals,terminal,/lessons/day-1-first-deployment-and-core-hcl/variables-outputs-and-locals,"Master input variables, custom validation blocks with regex, sensitive outputs, local computed values, and variable precedence hierarchy."
02D,"Day 1: HCL Syntax, Core Workflow & First Deployments","Data Sources, Provider Configuration & Local State Mechanics",day-1-first-deployment-and-core-hcl/data-sources-and-state-mechanics,terminal,/lessons/day-1-first-deployment-and-core-hcl/data-sources-and-state-mechanics,"Learn how to query live cloud data using Data Sources, configure multiple provider aliases, and understand how local state records infrastructure."
03A,Day 2: Production State Management & Disaster Recovery,Terraform State Internals & Schema Deep Dive,day-2-state-management-and-backends/terraform-state-deep-dive,database,/lessons/day-2-state-management-and-backends/terraform-state-deep-dive,"Explore the internal structure of the Terraform state file, understanding schema versions, lineage, serial counters, resource bindings, and security."
03B,Day 2: Production State Management & Disaster Recovery,Remote Backends with AWS S3 & DynamoDB State Locking,day-2-state-management-and-backends/remote-state-s3-and-dynamodb,database,/lessons/day-2-state-management-and-backends/remote-state-s3-and-dynamodb,Build an enterprise remote state backend with AWS S3 for encrypted versioned storage and DynamoDB for distributed locking and state migration.
03C,Day 2: Production State Management & Disaster Recovery,Advanced State Operations & Disaster Recovery,day-2-state-management-and-backends/state-operations-and-disaster-recovery,database,/lessons/day-2-state-management-and-backends/state-operations-and-disaster-recovery,"Master state manipulation commands (state mv, state rm, force-unlock), refactor resource identifiers, and resolve real-world infrastructure drift."
03D,Day 2: Production State Management & Disaster Recovery,Greenfield vs Brownfield: Resource Import & Code Generation,day-2-state-management-and-backends/importing-existing-resources-and-code-generation,database,/lessons/day-2-state-management-and-backends/importing-existing-resources-and-code-generation,Learn how to import pre-existing cloud infrastructure into Terraform state using legacy CLI imports and modern declarative import blocks with automated HCL code generation.
04A,Day 2: Multi-Environment SDLC Architecture,Environment Isolation: Workspaces vs Directory Separation,day-2-multi-environment-sdlc/multi-environment-isolation-patterns,sitemap,/lessons/day-2-multi-environment-sdlc/multi-environment-isolation-patterns,"Compare Terraform Workspaces against Directory-based environment separation, analyzing blast radius risks, state isolation, and enterprise directory layouts."
04B,Day 2: Multi-Environment SDLC Architecture,Multi-Account & Multi-Region Cloud Strategies,day-2-multi-environment-sdlc/multi-account-and-multi-region-strategies,sitemap,/lessons/day-2-multi-environment-sdlc/multi-account-and-multi-region-strategies,"Architect multi-account AWS environments using AWS Organizations, cross-account IAM role assumption (assume_role), and multi-region provider aliases."
04C,Day 2: Multi-Environment SDLC Architecture,Managing Secrets & Environment Variables Securely,day-2-multi-environment-sdlc/secrets-and-environment-variables,sitemap,/lessons/day-2-multi-environment-sdlc/secrets-and-environment-variables,"Best practices for injecting secrets, using TF_VAR environment variables, .tfvars files, and fetching runtime secrets from AWS Secrets Manager and SSM."
